"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V10"
"228" 2020 166 9.5 300.736877 -27.473831 0.208827 0.226227 -0.000576
"229" 2020 166 10 271.014496 -37.313763 0.208403 0.226049 -0.000485
"230" 2020 166 10.5 166.247482 -7.501318 0.208126 0.225939 -0.000355
"231" 2020 166 11 136.520187 -19.747742 0.20787 0.22585 -0.000226
"232" 2020 166 11.5 102.252289 -27.492414 0.207621 0.225788 -8.9e-05
"233" 2020 166 12 39.081589 -44.898228 0.207441 0.225768 0.000102
"234" 2020 166 12.5 37.301685 -38.977776 0.20727 0.225749 9.4e-05
"235" 2020 166 13 36.240742 -38.54631 0.2071 0.225729 8.9e-05
"236" 2020 166 13.5 35.521564 -39.11396 0.206931 0.22571 8.5e-05
"237" 2020 166 14 35.115574 -39.831463 0.206759 0.22569 8.1e-05
"238" 2020 166 14.5 35.183628 -40.602844 0.206582 0.22567 7.8e-05
"239" 2020 166 15 36.030128 -41.51619 0.206395 0.225651 7.5e-05
"240" 2020 166 15.5 38.786892 -39.055519 0.206197 0.22563 7.2e-05
"241" 2020 166 16 28.649878 -32.024548 0.206077 0.225611 7e-05
"242" 2020 166 16.5 24.70789 -28.460976 0.205996 0.225592 6.9e-05
"243" 2020 166 17 22.241404 -24.952042 0.205945 0.225574 6.7e-05
"244" 2020 166 17.5 20.491138 -21.429592 0.205918 0.225556 6.6e-05
"245" 2020 166 18 19.134989 -17.934061 0.205914 0.225538 6.4e-05
"246" 2020 166 18.5 18.722721 -16.846186 0.205913 0.22552 6.3e-05
"247" 2020 166 19 17.755653 -15.353164 0.205911 0.225502 6.2e-05
"248" 2020 166 19.5 16.778175 -13.837629 0.205907 0.225484 6e-05
"249" 2020 166 20 15.78088 -12.334813 0.205901 0.225466 5.9e-05
"250" 2020 166 20.5 14.753269 -10.847846 0.205894 0.225448 5.8e-05
"251" 2020 166 21 14.198148 -10.196986 0.205882 0.225431 5.7e-05
"252" 2020 166 21.5 18.642921 -9.95924 0.205937 0.225409 -3.2e-05
"253" 2020 166 22 23.682974 -10.879545 0.206073 0.225386 -0.000112
"254" 2020 166 22.5 31.039848 -12.327929 0.20628 0.225363 -0.00019
"255" 2020 166 23 38.72237 -13.906478 0.206554 0.225339 -0.000263
"256" 2020 166 23.5 46.309185 -15.37858 0.206892 0.225314 -0.000326
"257" 2020 167 0 53.748409 -16.752083 0.207293 0.225288 -0.000379
"258" 2020 167 0.5 61.237602 -13.912983 0.207796 0.225262 -0.000451
"259" 2020 167 1 66.072701 -11.364885 0.208402 0.225236 -0.000506
"260" 2020 167 1.5 70.03096 -9.151405 0.20911 0.225211 -0.000548
"261" 2020 167 2 73.941689 -7.165413 0.20992 0.225186 -0.000579
"262" 2020 167 2.5 78.559219 -5.281274 0.210833 0.225163 -0.000623
"263" 2020 167 3 83.189323 -3.476796 0.211851 0.225141 -0.00066
"264" 2020 167 3.5 126.335449 -8.231219 0.212754 0.22512 -0.000733
"265" 2020 167 4 168.676514 -13.872158 0.213546 0.225098 -0.000835
"266" 2020 167 4.5 170.372253 -6.215504 0.21425 0.225066 -0.000925
"267" 2020 167 5 161.798538 5.446645 0.214857 0.225015 -0.000988
"268" 2020 167 5.5 212.888062 -11.249995 0.215309 0.22493 -0.00105
"269" 2020 167 6 259.001678 -25.003708 0.215606 0.224814 -0.001066
"270" 2020 167 6.5 260.618042 -28.164379 0.215861 0.224694 -0.000993
"271" 2020 167 7 257.187317 -25.120205 0.216091 0.224575 -0.000924
"272" 2020 167 7.5 252.281219 -21.045845 0.216305 0.224458 -0.000859
"273" 2020 167 8 244.381012 -15.990652 0.216509 0.224343 -0.000789
"274" 2020 167 8.5 234.744751 -11.447068 0.216704 0.224232 -0.000713
